"gender"	"Age"	"attitude"	"deep"	"stra"	"surf"	"Points"	"deep_adjusted"	"surface_adjusted"	"strategic_adjusted"	"DS"
"115"	"F"	20	3	2.75	2.5	3.5	24	0.229166666666667	0.291666666666667	0.3125	"0"
"116"	"M"	21	3.7	3.25	3.25	3.83333333333333	24	0.270833333333333	0.319444444444444	0.40625	"0"
"117"	"F"	20	2.5	4	3.625	2.91666666666667	20	0.333333333333333	0.243055555555556	0.453125	"1"
"118"	"F"	20	2.9	3.58333333333333	3.875	2.16666666666667	19	0.298611111111111	0.180555555555556	0.484375	"1"
"119"	"M"	31	3.9	4.08333333333333	3.875	1.66666666666667	30	0.340277777777778	0.138888888888889	0.484375	"1"
"120"	"F"	20	3.6	4.25	2.375	2.08333333333333	22	0.354166666666667	0.173611111111111	0.296875	"1"
"121"	"F"	22	2.9	3.41666666666667	3	2.83333333333333	16	0.284722222222222	0.236111111111111	0.375	"1"
"122"	"F"	22	2.1	3.08333333333333	3.375	3.41666666666667	16	0.256944444444444	0.284722222222222	0.421875	"0"
"123"	"M"	21	3.1	3.5	2.75	3.33333333333333	19	0.291666666666667	0.277777777777778	0.34375	"1"
"124"	"M"	22	4	3.66666666666667	4.5	2.58333333333333	30	0.305555555555556	0.215277777777778	0.5625	"1"
"125"	"F"	21	3.1	4.25	2.625	2.83333333333333	23	0.354166666666667	0.236111111111111	0.328125	"1"
"126"	"F"	21	2.3	4.25	2.75	3.33333333333333	19	0.354166666666667	0.277777777777778	0.34375	"1"
"127"	"F"	21	2.8	3.83333333333333	3.25	3	18	0.319444444444444	0.25	0.40625	"1"
"128"	"F"	21	3.7	4.41666666666667	4.125	2.58333333333333	28	0.368055555555556	0.215277777777778	0.515625	"1"
"129"	"F"	20	2.6	3.5	3.375	2.41666666666667	21	0.291666666666667	0.201388888888889	0.421875	"1"
"130"	"F"	21	2.4	3.58333333333333	2.75	3.58333333333333	19	0.298611111111111	0.298611111111111	0.34375	"0"
"131"	"F"	25	3	3.66666666666667	4.125	2.08333333333333	27	0.305555555555556	0.173611111111111	0.515625	"1"
"132"	"M"	21	2.8	2.08333333333333	3.25	4.33333333333333	24	0.173611111111111	0.361111111111111	0.40625	"0"
"133"	"F"	24	2.9	4.25	2.875	2.66666666666667	21	0.354166666666667	0.222222222222222	0.359375	"1"
"134"	"F"	20	2.4	3.58333333333333	2.875	3	20	0.298611111111111	0.25	0.359375	"1"
"135"	"M"	21	3.1	4	2.375	2.66666666666667	28	0.333333333333333	0.222222222222222	0.296875	"1"
"136"	"F"	20	1.9	3.33333333333333	3.875	2.16666666666667	12	0.277777777777778	0.180555555555556	0.484375	"1"
"137"	"F"	20	2	3.5	2.125	2.66666666666667	21	0.291666666666667	0.222222222222222	0.265625	"1"
"138"	"F"	18	3.8	3.16666666666667	4	2.25	28	0.263888888888889	0.1875	0.5	"1"
"139"	"F"	21	3.4	3.58333333333333	3.25	2.66666666666667	31	0.298611111111111	0.222222222222222	0.40625	"1"
"140"	"F"	19	3.7	3.41666666666667	2.625	3.33333333333333	18	0.284722222222222	0.277777777777778	0.328125	"1"
"141"	"F"	21	2.9	4.25	2.75	3.5	25	0.354166666666667	0.291666666666667	0.34375	"1"
"142"	"F"	20	2.3	3.25	4	2.75	19	0.270833333333333	0.229166666666667	0.5	"1"
"143"	"M"	21	4.1	4.41666666666667	3	2	21	0.368055555555556	0.166666666666667	0.375	"1"
"144"	"F"	20	2.7	3.25	3.375	2.83333333333333	16	0.270833333333333	0.236111111111111	0.421875	"1"
"145"	"F"	21	3.5	3.91666666666667	3.875	3.5	7	0.326388888888889	0.291666666666667	0.484375	"1"
"146"	"F"	20	3.4	3.58333333333333	3.25	2.5	21	0.298611111111111	0.208333333333333	0.40625	"1"
"147"	"F"	18	3.2	4.5	3.375	3.16666666666667	17	0.375	0.263888888888889	0.421875	"1"
"148"	"M"	22	3.3	3.58333333333333	4.125	3.08333333333333	22	0.298611111111111	0.256944444444444	0.515625	"1"
"149"	"F"	22	3.3	3.66666666666667	3.5	2.91666666666667	18	0.305555555555556	0.243055555555556	0.4375	"1"
"150"	"M"	24	3.5	2.58333333333333	2	3.16666666666667	25	0.215277777777778	0.263888888888889	0.25	"0"
"151"	"F"	19	3.2	4.16666666666667	3.625	2.5	24	0.347222222222222	0.208333333333333	0.453125	"1"
"152"	"F"	20	3.1	3.25	3.375	3.83333333333333	23	0.270833333333333	0.319444444444444	0.421875	"0"
"153"	"F"	20	2.8	4.33333333333333	2.125	2.25	23	0.361111111111111	0.1875	0.265625	"1"
"154"	"F"	17	1.7	3.91666666666667	4.625	3.41666666666667	26	0.326388888888889	0.284722222222222	0.578125	"1"
"155"	"M"	19	1.9	2.66666666666667	2.5	3.75	12	0.222222222222222	0.3125	0.3125	"0"
"156"	"F"	20	3.5	3.08333333333333	2.875	3	32	0.256944444444444	0.25	0.359375	"1"
"157"	"F"	20	2.4	3.75	2.75	2.58333333333333	22	0.3125	0.215277777777778	0.34375	"1"
"158"	"F"	20	2.1	4.16666666666667	4	3.33333333333333	20	0.347222222222222	0.277777777777778	0.5	"1"
"159"	"F"	20	2.9	4.16666666666667	2.375	2.83333333333333	21	0.347222222222222	0.236111111111111	0.296875	"1"
"160"	"F"	19	1.9	3.25	3.875	3	23	0.270833333333333	0.25	0.484375	"1"
"161"	"F"	19	2	4.08333333333333	3.375	2.83333333333333	20	0.340277777777778	0.236111111111111	0.421875	"1"
"162"	"F"	22	4.2	2.91666666666667	1.75	3.16666666666667	28	0.243055555555556	0.263888888888889	0.21875	"0"
"163"	"M"	35	4.1	3.83333333333333	3	2.75	31	0.319444444444444	0.229166666666667	0.375	"1"
"164"	"F"	18	3.7	3.16666666666667	2.625	3.41666666666667	18	0.263888888888889	0.284722222222222	0.328125	"0"
"165"	"F"	19	3.6	3.41666666666667	2.625	3	30	0.284722222222222	0.25	0.328125	"1"
"166"	"M"	21	1.8	4.08333333333333	3.375	2.66666666666667	19	0.340277777777778	0.222222222222222	0.421875	"1"
